is_clean,product_name,brand_name,size,loves_count,number_of_reviews,rating,secondary_category,tertiary_category,ingredients,ingredient_description,limited_edition,online_only,sephora_exclusive,list_price
1,Hydrating Lip Treatment Oil,Ami Colé,0.15,22871,397,4.3401,Lip,Lip Balm & Treatment,"triisostearoyl polyglyceryl3 dimer dilinoleate, polybutene, diisostearyl malate, octyldodecanol, polyglyceryl2 triisostearate, vphexadecene copolymer, silica dimethyl, silylate, adansonia digitata seed oil, camellia japonica seed oil, passiflora incarnata seed, oil, pentaclethra macroloba seed oil, tocopherol, hexadecene, pentaerythrityl tetradi, tbutyl hydroxyhydrocinnamate, flavor aroma may contain titanium dioxide ci 77891, iron oxides ci 77491, ci 77492, blue i lake ci 42090, red 7 lake ci 15850, ci 45380 red 22 lake, ci 45410 red 28 lake","Baobab Seed Oil Moisturizes and nourishes lips ,Camellia Seed Oil Provides longlasting hydration ,Passion Fruit Seed Oil Retains moisture, leaving lips feeling soft and supple ,,Polybutene, Octyldodecanol, Pentaerythrityl Tetraisostearate, Silica Silylate, Ricinus Communis (Castor) Seed Oil, Mica, Adansonia Digitata Seed Oil, Camellia Japonica Seed Oil, Passiflora Edulis (Passionflower) Seed Oil, Pentaclethra Macroloba Seed Oil, Tocopheryl Acetate, Tocopherol, Aroma (Flavor), +/ Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Red 7 Lake (Ci 15850), Blue 1 Lake (Ci 42090),,<i>The list of ingredients is subject to change Please consult the packaging of the product purchased</i>",0,0,1,20.0
1,Skin-Enhancing Tinted Moisturizer,Ami Colé,1.0,6596,240,4.6792,Face,Tinted Moisturizer,"water, isohexadecane, dimethicone, isopropyl isostearate, isopropyl myristate, c1836 acid triglyceride, glycerin, propanediol, cucurbita pepo seed extract, magnesium sulfate, peg30 dipolyhydroxystearate, dimethicone crosspolymer, adansonia digitata fruit extract, hibiscus sabdariffa flower extract, hydrogenated lecithin, phyllanthus emblica fruit extract, tocopherol, maltodextrin, ethylhexylglycerin, sodium benzoate, sodium chloride, phenoxyethanol may contain titanium dioxide ci 77891, iron oxides ci 77491, ci 77492, ci 77499","Baobab Seed Extract Hydrates skin,Hibiscus Flower Extract Is rich in antioxidants that defend against environmental aggressors,Pumpkin Seed Extract Is rich in Vitamin E, which calms skin and prevents moisture loss,,Water/Aqua/Eau, Isohexadecane, Dimethicone, Isopropyl Isostearate, Isopropyl Myristate, C1836 Acid Triglyceride, Glycerin, Propanediol, Cucurbita Pepo Seed Extract, Magnesium Sulfate, PEG30 Dipolyhydroxystearate, Dimethicone Crosspolymer, Adansonia Digitata Fruit Extract, Hibiscus Sabdariffa Flower Extract, Hydrogenated Lecithin, Phyllanthus Emblica Fruit Extract, Tocopherol, Maltodextrin, Ethylhexylglycerin, Sodium Benzoate, Sodium Chloride, Phenoxyethanol May Contain Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499),,,,<i>The list of ingredients is subject to change Please consult the packaging of the product purchased</i>",0,0,1,32.0
1,Lash-Amplifying Volumizing & Lengthening Mascara,Ami Colé,0.3,5015,232,4.431,Eye,Mascara,"water, synthetic beeswax, glyceryl stearate, jojoba esters, glycerin, copernicia cerifera carnauba waxcera carnaubacire de carnauba, stearic acid, palmitic acid, polyacrylate21, butyrospermum parkii butter, caprylyl glycol, acacia, senegal gum, propanediol, butylene glycol, caprylhydroxamic acid, dipropylene glycol, disodium phosphate, glyceryl caprylate, hydroxyethylcellulose, polysorbate 20, sodium, hydroxide, sodium phosphate, tocopherol, trideceth6 phosphate, potassium sorbate, iron oxides ci 77499","Shea Butter Softens and conditions lashes,Jojoba Oil Supports strong lashes for growth and retention,,Water/Aqua/Eau, Synthetic Beeswax, Glyceryl Stearate, Jojoba Esters, Glycerin,,Copernicia Cerifera (Carnauba) Wax/Cera Carnauba/Cire De Carnauba, Stearic Acid,,Palmitic Acid, Polyacrylate21, Butyrospermum Parkii Butter, Caprylyl Glycol, Acacia,Senegal Gum, Propanediol, Butylene Glycol, Caprylhydroxamic Acid, Dipropylene Glycol,,Disodium Phosphate, Glyceryl Caprylate, Hydroxyethylcellulose, Polysorbate 20, Sodium,Hydroxide, Sodium Phosphate, Tocopherol, Trideceth6 Phosphate, Potassium Sorbate,,Iron Oxides (CI 77499),,,,<i>The list of ingredients is subject to change Please consult the packaging of the product purchased</i>",0,0,1,19.0
1,Skin Melt Talc-Free Loose Setting Powder,Ami Colé,0.29,4978,103,4.6117,Face,Setting Spray & Powder,"synthetic fluorphlogopite, silica, lauroyl lysine, capryliccapric triglyceride, squalane, adansonia digitata fruit extract, hibiscus sabdariffa flower extract, sodium hyaluronate, glycerin, pentylene glycol, glyceryl caprylate, hectorite, dehydroacetic acid, glyceryl undecylenate, amethyst powder, quartz, water may contain ci 77491 iron oxides, ci 77499 iron oxides, ci 77492 iron oxides","Hyaluronic Acid Retains moisture and visibly enhances skin&rsquo;s elasticity,Baobab Seed Extract Hydrates and nourishes skin,,Synthetic Fluorphlogopite, Silica, Lauroyl Lysine, Caprylic/Capric Triglyceride, Squalane, Adansonia Digitata Fruit Extract, Hibiscus Sabdariffa Flower Extract, Sodium Hyaluronate, Glycerin, Pentylene Glycol, Glyceryl Caprylate, Hectorite, Dehydroacetic Acid, Glyceryl Undecylenate, Amethyst Powder, Quartz, Aqua (Water) May Contain (+/) CI 77491 (Iron Oxides), CI 77499 (Iron Oxides), CI 77492 (Iron Oxides),,<i>The list of ingredients is subject to change Please consult the packaging of the product purchased</i>",0,1,1,22.0
1,Light-Catching Highlighter Balm,Ami Colé,0.14,3685,19,4.0526,Face,Highlighter,"diisostearyl malate, octyldodecanol, octyldodecyl neopentanoate, polybutene, tridecyl, trimellitate, hydrogenated polyisobutene, dibutyl lauroyl glutamide, dibutyl, ethylhexanoyl glutamide, silica dimethyl silylate, adansonia digitata seed oil, calcium, sodium borosilicate, pentaerythrityl tetraditbutyl hydroxyhydrocinnamate, tin oxide, tocopherol, titanium dioxide ci 77891","Baobab Seed Oil Hydrates and nourishes skin,,Diisostearyl Malate, Octyldodecanol, Octyldodecyl Neopentanoate, Polybutene, Tridecyl,Trimellitate, Hydrogenated Polyisobutene, Dibutyl Lauroyl Glutamide, Dibutyl,Ethylhexanoyl Glutamide, Silica Dimethyl Silylate, Adansonia Digitata Seed Oil, Calcium,Sodium Borosilicate, Pentaerythrityl TetraDiTButyl Hydroxyhydrocinnamate, Tin Oxide,,Tocopherol, Titanium Dioxide (CI 77891),,,,<i>The list of ingredients is subject to change Please consult the packaging of the product purchased</i>",0,0,1,22.0
1,Skin-Enhancing Concealer,Ami Colé,0.2,3551,93,4.4731,Face,Concealer,"water, hydrogenated lecithin, isohexadecane, isopropyl myristate, dimethicone, dimethicone crosspolymer, c1836 acid glycol ester, glycerin, propanediol, adansonia digitata fruit extract baobab seed extract, hibiscus sabdariffa flower extract, cucurbita pepo seed extract cucurbita pepo pumpkin seed extract, peg30 dipolyhydroxystearate, magnesium sulfate, citric acid, saccharide isomerate, sodium citrate, tocopheryl acetate vitamin e, silica, phenoxyethanol, ethylhexylglycerin, caesalpinia spinosa fruit extract, kappaphycus alvarezii extract may contain ci 77492 iron oxides, ci 77491 iron oxides, ci 77499 iron oxides, ci 77499 iron oxides","Baobab Seed Extract Nourishes skin,Hibiscus Flower Extract Is rich in antioxidants that defend skin from environmental aggressors,Pumpkin Seed Extract Is packed with vitamin E, which soothes skin and retains moisture,,Aqua (Water), Hydrogenated Lecithin, Isohexadecane, Isopropyl Myristate, Dimethicone, Dimethicone Crosspolymer, C1836 Acid Glycol Ester, Glycerin, Propanediol, Adansonia Digitata Fruit Extract (Baobab Seed Extract), Hibiscus Sabdariffa Flower Extract, Cucurbita Pepo Seed Extract (Cucurbita Pepo (Pumpkin) Seed Extract), PEG30 Dipolyhydroxystearate, Magnesium Sulfate, Citric Acid, Saccharide Isomerate, Sodium Citrate, Tocopheryl Acetate (Vitamin E), Silica, Phenoxyethanol, Ethylhexylglycerin, Caesalpinia Spinosa Fruit Extract, Kappaphycus Alvarezii Extract May Contain (+/) CI 77492 (Iron Oxides), CI 77491 (Iron Oxides), CI 77499 (Iron Oxides), CI 77499 (Iron Oxides),,,,<i>The list of ingredients is subject to change Please consult the packaging of the product purchased</i>",0,0,1,24.0
1,Ultra-Flex Clear Eyebrow Shaping Gel,Ami Colé,0.18,2885,59,4.3559,Eye,Eyebrow,"water, vpva copolymer, alcohol denat, butylene glycol, 1, 2hexanediol, acrylatesc1030 alkyl acrylate crosspolymer, tromethamine, musa sapientum banana fruit extract, hibiscus sabdariffa flower extract, adansonia digitata seed extract","Banana Peel Extract Supports hair growth,Baobab Seed Extract Hydrates skin beneath brows,Hibiscus Flower Extract Nourishes hair follicles to prevent dry flakes,,Water, VP/VA Copolymer, Alcohol Denat, Butylene Glycol, 1,2Hexanediol, Acrylates/C1030 Alkyl Acrylate Crosspolymer, Tromethamine, Musa Sapientum (Banana) Fruit Extract, Hibiscus Sabdariffa Flower Extract, Adansonia Digitata Seed Extract,,<i>The list of ingredients is subject to change Please consult the packaging of the product purchased</i>",0,1,1,20.0
0,Desert Date Cream Blush & Lip Multistick,Ami Colé,0.19,2858,123,4.8211,Cheek,Blush,"octyldodecanol, dicaprylyl ether, capryliccapric triglyceride, trihydroxystearin, euphorbia cerifera candelilla waxcandelilla ceracire de candelilla, c1018 triglycerides, microcrystalline cellulose, dilinoleic acidpropanediol copolymer, silica, mica, polyhydroxystearic acid, balanites aegyptiaca kernel oil desert date oil, adansonia digitata seed oil, hibiscus sabdariffa seed oil, tin oxide, tocopherol, glycine soja oil, benzyl alcohol may containpeut contenir titanium dioxide ci 7781, iron oxides ci 77491, ci 77492, ci 77499, red 6 lake ci 15850","Octyldodecanol, Dicaprylyl Ether, Caprylic/Capric Triglyceride, Trihydroxystearin, Euphorbia Cerifera (Candelilla) Wax/Candelilla Cera/Cire De Candelilla, C1018 Triglycerides, Microcrystalline Cellulose, Dilinoleic Acid/Propanediol Copolymer, Silica, Polyhydroxystearic Acid, Hibiscus Sabdariffa Seed Oil, Mica, Adansonia Digitata Seed Oil, Balanites Aegyptiaca Kernel Oil, Tocopherol, Tin Oxide, Benzyl Alcohol May Contain (+/) Red 28 (Ci 45410), Titanium Dioxide (Ci 77891), Manganese Violet (Ci 77742), Blue 1 Lake (Ci 42090)",0,0,1,22.0
0,"DIPBROW® Waterproof, Smudge Proof Brow Pomade",Anastasia Beverly Hills,0.14,617437,11327,4.6655,Eye,Eyebrow,"cyclopentasiloxane, isododecane, cyclohexasiloxane, silica, polyethylene, trimethylsiloxysilicate, ozokeritesynthetic wax, bisdiglyceryl polyacyladipate2, silica dimethyl silylate, mica, tocopheryl acetate, caprylyl glycol, ethylhexylglycerin, propylparaben, may contain iron oxides ci 77491, ci 77492, ci 77499, titanium dioxide ci 77891, bismuth oxychloride ci 77163","Cyclopentasiloxane, Isododecane, Cyclohexasiloxane, Silica, Polyethylene, Trimethylsiloxysilicate, Ozokerite/Synthetic Wax, BisDiglyceryl Polyacyladipate2, Silica Dimethyl Silylate, Mica, Tocopheryl Acetate, Caprylyl Glycol, Ethylhexylglycerin, Propylparaben, May Contain (+/) Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891), Bismuth Oxychloride (Ci 77163)",0,0,0,23.0
0,Smudge-Proof Matte Liquid Lipstick,Anastasia Beverly Hills,0.11,583724,4311,3.8251,Lip,Lipstick,"isododecane, trimethylsiloxysilicate, boron nitride, nylon12, ozokerite, mineral oil, disteardimonium hectorite, butyleneethylenestyrene copolymer, ethylenepropylenestyrene copolymer, isohexadecane, phenoxyethanol, propylene carbonate, sodium hyaluronate, sodium magnesium silver phosphate, tocopheryl acetate, tripeptide1, xanthan gum may contain red 7 lake ci 15850, red 6 ci 15850, yellow 5 lake ci 19140, red 22 lake ci 45380, red 27 lake ci 45410, iron oxides ci 77491, ci 77492, ci 77499, titanium dioxide ci 77891","Isododecane, Trimethylsiloxysilicate, Boron Nitride, Nylon12, Ozokerite, Mineral Oil, Disteardimonium Hectorite, Butylene/Ethylene/Styrene Copolymer, Ethylene/Propylene/Styrene Copolymer, Isohexadecane, Phenoxyethanol, Propylene Carbonate, Sodium Hyaluronate, Sodium Magnesium Silver Phosphate, Tocopheryl Acetate, Tripeptide1, Xanthan Gum May Contain (+/) Red 7 Lake (Ci 15850), Red 6 (Ci 15850), Yellow 5 Lake (Ci 19140), Red 22 Lake (Ci 45380), Red 27 Lake (Ci 45410), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891)",0,0,0,20.0
