product_id,product_name,brand_id,brand_name,loves_count,rating,reviews,size,variation_type,variation_value,variation_desc,ingredients,price_usd,value_price_usd,sale_price_usd,limited_edition,new,online_only,out_of_stock,sephora_exclusive,highlights,primary_category,secondary_category,tertiary_category,child_count,child_max_price,child_min_price,Product ID,Brand Name,Image 11 URL,Image 5 URL,Image 15 URL,Number of Reviews,Rating,Image 12 URL,Image 9 URL,Image 4 URL,Image 7 URL,Image 18 URL,Image 17 URL,Ingredient Description,Image 8 URL,Image 13 URL,Image 14 URL,Full Product URL,Image 20 URL,Image 10 URL,List Price,Image 1 URL,Image 6 URL,Image 3 URL,Image 19 URL,Size,Product Name,Image 16 URL,Image 2 URL,is_clean
P503741,Lip Treatment Oil,7103,Ami Colé,22871,4.7053,95.0,0.15 oz / 4.5 ml,Color,Excellence,rosy-brown,"['Triisostearoyl Polyglyceryl-3 Dimer Dilinoleate, Polybutene, Diisostearyl Malate, Octyldodecanol, Polyglyceryl-2 Triisostearate, VP/Hexadecene Copolymer, Silica Dimethyl', 'Silylate, Adansonia Digitata Seed Oil, Camellia Japonica Seed Oil, Passiflora Incarnata Seed', 'Oil, Pentaclethra Macroloba Seed Oil, Tocopherol, Hexadecene, Pentaerythrityl Tetra-Di-', 'T-Butyl Hydroxyhydrocinnamate, Flavor (Aroma). May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, Ci 77492), Blue I Lake (CI 42090), Red 7 Lake (CI 15850), CI 45380 (Red 22 Lake), CI 45410 (Red 28 Lake).']",20.0,,,0,0,0,0,1,"['Vegan', 'High Shine Finish', 'Clean at Sephora', 'Hydrating', 'Black Owned at Sephora', 'Cruelty-Free']",Makeup,Lip,Lip Balm & Treatment,3,20.0,20.0,P503741,Ami Colé,,/productimages/sku/s2709236-av-9-zoom.jpg,,397.0,4.3401,,,/productimages/sku/s2709236-av-8-zoom.jpg,/productimages/sku/s2709236-av-11-zoom.jpg,,,"-Baobab Seed Oil: Moisturizes and nourishes lips. <br>-Camellia Seed Oil: Provides long-lasting hydration. <br>-Passion Fruit Seed Oil: Retains moisture, leaving lips feeling soft and supple. <br><br>Polybutene, Octyldodecanol, Pentaerythrityl Tetraisostearate, Silica Silylate, Ricinus Communis (Castor) Seed Oil, Mica, Adansonia Digitata Seed Oil, Camellia Japonica Seed Oil, Passiflora Edulis (Passionflower) Seed Oil, Pentaclethra Macroloba Seed Oil, Tocopheryl Acetate, Tocopherol, Aroma (Flavor), +/-: Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Red 7 Lake (Ci 15850), Blue 1 Lake (Ci 42090).<br><br><i>The list of ingredients is subject to change. Please consult the packaging of the product purchased.</i>",/productimages/sku/s2709236-av-12-zoom.jpg,,,https://www.sephora.com/product/lip-treatment-oil-P503741?skuId=2709236,,,$20.00,/productimages/sku/s2709236-av-6-zoom.jpg,/productimages/sku/s2709236-av-10-zoom.jpg,/productimages/sku/s2709236-av-13-zoom.jpg,,0.15 oz / 4.5 ml,Hydrating Lip Treatment Oil,,/productimages/sku/s2709236-av-7-zoom.jpg,1
P503754,Skin-Enhancing Tinted Moisturizer,7103,Ami Colé,6596,4.8966,58.0,1 oz / 30 ml,Color,Rich 2,for rich skin with yellow undertones,"['Water/Aqua/Eau, Isohexadecane, Dimethicone, Isopropyl Isostearate, Isopropyl Myristate, C18-36 Acid Triglyceride, Glycerin, Propanediol, Cucurbita Pepo Seed Extract, Magnesium Sulfate, PEG-30 Dipolyhydroxystearate, Dimethicone Crosspolymer, Adansonia Digitata Fruit Extract, Hibiscus Sabdariffa Flower Extract, Hydrogenated Lecithin, Phyllanthus Emblica Fruit Extract, Tocopherol, Maltodextrin, Ethylhexylglycerin, Sodium Benzoate, Sodium Chloride, Phenoxyethanol. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).']",32.0,,,0,0,0,0,1,"['Vegan', 'Natural Finish', 'Clean at Sephora', 'Medium Coverage', 'Black Owned at Sephora', 'Cruelty-Free']",Makeup,Face,Tinted Moisturizer,5,32.0,32.0,P503754,Ami Colé,,/productimages/sku/s2631687-av-7-zoom.jpg,,240.0,4.6792,,,/productimages/sku/s2631687-av-6-zoom.jpg,,,,"-Baobab Seed Extract: Hydrates skin.<br>-Hibiscus Flower Extract: Is rich in antioxidants that defend against environmental aggressors.<br>-Pumpkin Seed Extract: Is rich in Vitamin E, which calms skin and prevents moisture loss.<br><br>Water/Aqua/Eau, Isohexadecane, Dimethicone, Isopropyl Isostearate, Isopropyl Myristate, C18-36 Acid Triglyceride, Glycerin, Propanediol, Cucurbita Pepo Seed Extract, Magnesium Sulfate, PEG-30 Dipolyhydroxystearate, Dimethicone Crosspolymer, Adansonia Digitata Fruit Extract, Hibiscus Sabdariffa Flower Extract, Hydrogenated Lecithin, Phyllanthus Emblica Fruit Extract, Tocopherol, Maltodextrin, Ethylhexylglycerin, Sodium Benzoate, Sodium Chloride, Phenoxyethanol. May Contain: Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).<br><br><br><br><i>The list of ingredients is subject to change. Please consult the packaging of the product purchased.</i>",,,,https://www.sephora.com/product/skin-enhancing-tinted-moisturizer-P503754?skuId=2631687,,,$32.00,/productimages/sku/s2631687-av-3-zoom.jpg,/productimages/sku/s2631687-av-8-zoom.jpg,/productimages/sku/s2631687-av-5-zoom.jpg,,1 oz / 30 ml,Skin-Enhancing Tinted Moisturizer,,/productimages/sku/s2631687-av-4-zoom.jpg,1
P503762,Lash-Amplifying Volumizing & Lengthening Mascara,7103,Ami Colé,5015,4.1842,38.0,0.3 oz / 9 ml,Color,Rich Black,,"['Water/Aqua/Eau, Synthetic Beeswax, Glyceryl Stearate, Jojoba Esters, Glycerin,', 'Copernicia Cerifera (Carnauba) Wax/Cera Carnauba/Cire De Carnauba, Stearic Acid,', 'Palmitic Acid, Polyacrylate-21, Butyrospermum Parkii Butter, Caprylyl Glycol, Acacia', 'Senegal Gum, Propanediol, Butylene Glycol, Caprylhydroxamic Acid, Dipropylene Glycol,', 'Disodium Phosphate, Glyceryl Caprylate, Hydroxyethylcellulose, Polysorbate 20, Sodium', 'Hydroxide, Sodium Phosphate, Tocopherol, Trideceth-6 Phosphate, Potassium Sorbate,', 'Iron Oxides (CI 77499).']",19.0,,,0,0,0,0,1,"['Vegan', 'allure 2022 Best of Beauty Award Winner', 'Clean at Sephora', 'Black Owned at Sephora', 'Cruelty-Free']",Makeup,Eye,Mascara,0,,,P503762,Ami Colé,,/productimages/sku/s2631703-av-7-zoom.jpg,,232.0,4.431,,,/productimages/sku/s2631703-av-6-zoom.jpg,,,,"-Shea Butter: Softens and conditions lashes.<br>-Jojoba Oil: Supports strong lashes for growth and retention.<br><br>Water/Aqua/Eau, Synthetic Beeswax, Glyceryl Stearate, Jojoba Esters, Glycerin,<br>Copernicia Cerifera (Carnauba) Wax/Cera Carnauba/Cire De Carnauba, Stearic Acid,<br>Palmitic Acid, Polyacrylate-21, Butyrospermum Parkii Butter, Caprylyl Glycol, Acacia<br>Senegal Gum, Propanediol, Butylene Glycol, Caprylhydroxamic Acid, Dipropylene Glycol,<br>Disodium Phosphate, Glyceryl Caprylate, Hydroxyethylcellulose, Polysorbate 20, Sodium<br>Hydroxide, Sodium Phosphate, Tocopherol, Trideceth-6 Phosphate, Potassium Sorbate,<br>Iron Oxides (CI 77499).<br><br>.<br><br><i>The list of ingredients is subject to change. Please consult the packaging of the product purchased.</i>",,,,https://www.sephora.com/product/lash-amplifying-volumizing-lengthening-mascara-P503762?skuId=2631703,,,$19.00,/productimages/sku/s2631703-av-3-zoom.jpg,/productimages/sku/s2631703-av-8-zoom.jpg,/productimages/sku/s2631703-av-5-zoom.jpg,,0.3 oz / 9 ml,Lash-Amplifying Volumizing & Lengthening Mascara,,/productimages/sku/s2631703-av-4-zoom.jpg,1
P503732,Skin Melt Talc-Free Loose Setting Powder,7103,Ami Colé,4978,4.5714,21.0,0. 29 oz / 8.6 g,Color,Rich / Deep,for rich to deep skin tones,"['Synthetic Fluorphlogopite, Silica, Lauroyl Lysine, Caprylic/Capric Triglyceride, Squalane, Adansonia Digitata Fruit Extract, Hibiscus Sabdariffa Flower Extract, Sodium Hyaluronate, Glycerin, Pentylene Glycol, Glyceryl Caprylate, Hectorite, Dehydroacetic Acid, Glyceryl Undecylenate, Amethyst Powder, Quartz, Aqua (Water). May Contain (+/-) CI 77491 (Iron Oxides), CI 77499 (Iron Oxides), CI 77492 (Iron Oxides).']",22.0,,,0,0,1,0,1,"['Vegan', 'Loose Powder Formula', 'Clean at Sephora', 'Matte Finish', 'Black Owned at Sephora', 'Cruelty-Free']",Makeup,Face,Setting Spray & Powder,2,22.0,22.0,P503732,Ami Colé,,/productimages/sku/s2631851-av-6-zoom.jpg,,103.0,4.6117,,,/productimages/sku/s2631851-av-5-zoom.jpg,,,,"-Hyaluronic Acid: Retains moisture and visibly enhances skin&rsquo;s elasticity.<br>-Baobab Seed Extract: Hydrates and nourishes skin.<br><br>Synthetic Fluorphlogopite, Silica, Lauroyl Lysine, Caprylic/Capric Triglyceride, Squalane, Adansonia Digitata Fruit Extract, Hibiscus Sabdariffa Flower Extract, Sodium Hyaluronate, Glycerin, Pentylene Glycol, Glyceryl Caprylate, Hectorite, Dehydroacetic Acid, Glyceryl Undecylenate, Amethyst Powder, Quartz, Aqua (Water). May Contain (+/-) CI 77491 (Iron Oxides), CI 77499 (Iron Oxides), CI 77492 (Iron Oxides).<br><br><i>The list of ingredients is subject to change. Please consult the packaging of the product purchased.</i>",,,,https://www.sephora.com/product/skin-melt-talc-free-loose-setting-powder-P503732?skuId=2631851,,,$22.00,/productimages/sku/s2631851-av-2-zoom.jpg,/productimages/sku/s2631851-av-7-zoom.jpg,/productimages/sku/s2631851-av-4-zoom.jpg,,0. 29 oz / 8.6 g,Skin Melt Talc-Free Loose Setting Powder,,/productimages/sku/s2631851-av-3-zoom.jpg,1
P503763,Light-Catching Highlighter Balm,7103,Ami Colé,3685,4.75,8.0,0.14 oz / 4 g,Color,Glaze,clear with golden light-reflective minerals,"['Diisostearyl Malate, Octyldodecanol, Octyldodecyl Neopentanoate, Polybutene, Tridecyl', 'Trimellitate, Hydrogenated Polyisobutene, Dibutyl Lauroyl Glutamide, Dibutyl', 'Ethylhexanoyl Glutamide, Silica Dimethyl Silylate, Adansonia Digitata Seed Oil, Calcium', 'Sodium Borosilicate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tin Oxide,', 'Tocopherol, Titanium Dioxide (CI 77891).']",22.0,,,0,0,0,0,1,"['Vegan', 'Stick Formula', 'Clean at Sephora', 'Fragrance Free', 'Black Owned at Sephora', 'Cruelty-Free']",Makeup,Face,Highlighter,0,,,P503763,Ami Colé,,/productimages/sku/s2631695-av-7-zoom.jpg,,19.0,4.0526,,,/productimages/sku/s2631695-av-6-zoom.jpg,,,,"-Baobab Seed Oil: Hydrates and nourishes skin.<br><br>Diisostearyl Malate, Octyldodecanol, Octyldodecyl Neopentanoate, Polybutene, Tridecyl<br>Trimellitate, Hydrogenated Polyisobutene, Dibutyl Lauroyl Glutamide, Dibutyl<br>Ethylhexanoyl Glutamide, Silica Dimethyl Silylate, Adansonia Digitata Seed Oil, Calcium<br>Sodium Borosilicate, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tin Oxide,<br>Tocopherol, Titanium Dioxide (CI 77891).<br><br><br><br><i>The list of ingredients is subject to change. Please consult the packaging of the product purchased.</i>",,,,https://www.sephora.com/product/light-catching-highlighter-balm-P503763?skuId=2631695,,,$22.00,/productimages/sku/s2631695-av-3-zoom.jpg,/productimages/sku/s2631695-av-8-zoom.jpg,/productimages/sku/s2631695-av-5-zoom.jpg,,0.14 oz / 4 g,Light-Catching Highlighter Balm,,/productimages/sku/s2631695-av-4-zoom.jpg,1
P503767,Skin-Enhancing Concealer,7103,Ami Colé,3551,4.6429,14.0,0.2 oz / 6 ml,Color,Rich 2.5,for rich skin with red undertones,"['Aqua (Water), Hydrogenated Lecithin, Isohexadecane, Isopropyl Myristate, Dimethicone, Dimethicone Crosspolymer, C18-36 Acid Glycol Ester, Glycerin, Propanediol, Adansonia Digitata Fruit Extract (Baobab Seed Extract), Hibiscus Sabdariffa Flower Extract, Cucurbita Pepo Seed Extract (Cucurbita Pepo (Pumpkin) Seed Extract), PEG-30 Dipolyhydroxystearate, Magnesium Sulfate, Citric Acid, Saccharide Isomerate, Sodium Citrate, Tocopheryl Acetate (Vitamin E), Silica, Phenoxyethanol, Ethylhexylglycerin, Caesalpinia Spinosa Fruit Extract, Kappaphycus Alvarezii Extract. May Contain (+/-) CI 77492 (Iron Oxides), CI 77491 (Iron Oxides), CI 77499 (Iron Oxides), CI 77499 (Iron Oxides).']",24.0,,,0,0,0,0,1,"['Vegan', 'Good for: Dark Circles', 'Clean at Sephora', 'Medium Coverage', 'Good for: Dark spots', 'Black Owned at Sephora']",Makeup,Face,Concealer,11,24.0,24.0,P503767,Ami Colé,,/productimages/sku/s2631828-av-7-zoom.jpg,,93.0,4.4731,,,/productimages/sku/s2631828-av-6-zoom.jpg,,,,"-Baobab Seed Extract: Nourishes skin.<br>-Hibiscus Flower Extract: Is rich in antioxidants that defend skin from environmental aggressors.<br>-Pumpkin Seed Extract: Is packed with vitamin E, which soothes skin and retains moisture.<br><br>Aqua (Water), Hydrogenated Lecithin, Isohexadecane, Isopropyl Myristate, Dimethicone, Dimethicone Crosspolymer, C18-36 Acid Glycol Ester, Glycerin, Propanediol, Adansonia Digitata Fruit Extract (Baobab Seed Extract), Hibiscus Sabdariffa Flower Extract, Cucurbita Pepo Seed Extract (Cucurbita Pepo (Pumpkin) Seed Extract), PEG-30 Dipolyhydroxystearate, Magnesium Sulfate, Citric Acid, Saccharide Isomerate, Sodium Citrate, Tocopheryl Acetate (Vitamin E), Silica, Phenoxyethanol, Ethylhexylglycerin, Caesalpinia Spinosa Fruit Extract, Kappaphycus Alvarezii Extract. May Contain (+/-) CI 77492 (Iron Oxides), CI 77491 (Iron Oxides), CI 77499 (Iron Oxides), CI 77499 (Iron Oxides).<br><br>.<br><br><i>The list of ingredients is subject to change. Please consult the packaging of the product purchased.</i>",,,,https://www.sephora.com/product/skin-enhancing-concealer-P503767?skuId=2631828,,,$24.00,/productimages/sku/s2631828-av-3-zoom.jpg,/productimages/sku/s2631828-av-8-zoom.jpg,/productimages/sku/s2631828-av-5-zoom.jpg,,0.2 oz / 6 ml,Skin-Enhancing Concealer,,/productimages/sku/s2631828-av-4-zoom.jpg,1
P503759,Ultra-Flex Clear Eyebrow Shaping Gel,7103,Ami Colé,2885,4.8889,9.0,0.18 oz / 5 ml,Color,Clear,,"['Water, VP/VA Copolymer, Alcohol Denat., Butylene Glycol, 1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Musa Sapientum (Banana) Fruit Extract, Hibiscus Sabdariffa Flower Extract, Adansonia Digitata Seed Extract.']",20.0,,,0,0,1,0,1,"['Vegan', 'Clean at Sephora', 'Fragrance Free', 'Black Owned at Sephora', 'Cruelty-Free']",Makeup,Eye,Eyebrow,0,,,P503759,Ami Colé,,,,59.0,4.3559,,,/productimages/sku/s2634350-av-6-zoom.jpg,,,,"-Banana Peel Extract: Supports hair growth.<br>-Baobab Seed Extract: Hydrates skin beneath brows.<br>-Hibiscus Flower Extract: Nourishes hair follicles to prevent dry flakes.<br><br>Water, VP/VA Copolymer, Alcohol Denat., Butylene Glycol, 1,2-Hexanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Musa Sapientum (Banana) Fruit Extract, Hibiscus Sabdariffa Flower Extract, Adansonia Digitata Seed Extract.<br><br><i>The list of ingredients is subject to change. Please consult the packaging of the product purchased.</i>",,,,https://www.sephora.com/product/ultra-flex-clear-eyebrow-shaping-gel-P503759?skuId=2634350,,,$20.00,/productimages/sku/s2634350-av-3-zoom.jpg,,/productimages/sku/s2634350-av-5-zoom.jpg,,0.18 oz / 5 ml,Ultra-Flex Clear Eyebrow Shaping Gel,,/productimages/sku/s2634350-av-4-zoom.jpg,1
P504779,Desert Date Cream Blush & Lip Multistick,7103,Ami Colé,2858,5.0,4.0,0.19 oz / 5.5 g,Color,Hibiscus,berry,"['Octyldodecanol, Dicaprylyl Ether, Caprylic/Capric Triglyceride, Trihydroxystearin, Euphorbia Cerifera (Candelilla) Wax/Candelilla Cera/Cire De Candelilla, C10-18 Triglycerides, Microcrystalline Cellulose, Dilinoleic Acid/Propanediol Copolymer, Silica, Mica, Polyhydroxystearic Acid, Balanites Aegyptiaca Kernel Oil (Desert Date Oil), Adansonia Digitata Seed Oil, Hibiscus Sabdariffa Seed Oil, Tin Oxide, Tocopherol, Glycine Soja Oil, Benzyl Alcohol. May Contain/Peut Contenir: Titanium Dioxide (CI 7781), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 6 Lake (CI 15850).']",22.0,,,0,1,0,0,1,"['Natural Finish', 'Cream Formula', 'Clean at Sephora', 'Fragrance Free', 'Black Owned at Sephora', 'Cruelty-Free']",Makeup,Cheek,Blush,3,22.0,22.0,P504779,Ami Colé,,/productimages/sku/s2780757-av-6-zoom.jpg,,123.0,4.8211,,/productimages/sku/s2780757-av-10-zoom.jpg,/productimages/sku/s2780757-av-5-zoom.jpg,/productimages/sku/s2780757-av-8-zoom.jpg,,,"Octyldodecanol, Dicaprylyl Ether, Caprylic/Capric Triglyceride, Trihydroxystearin, Euphorbia Cerifera (Candelilla) Wax/Candelilla Cera/Cire De Candelilla, C10-18 Triglycerides, Microcrystalline Cellulose, Dilinoleic Acid/Propanediol Copolymer, Silica, Polyhydroxystearic Acid, Hibiscus Sabdariffa Seed Oil, Mica, Adansonia Digitata Seed Oil, Balanites Aegyptiaca Kernel Oil, Tocopherol, Tin Oxide, Benzyl Alcohol. May Contain (+/-): Red 28 (Ci 45410), Titanium Dioxide (Ci 77891), Manganese Violet (Ci 77742), Blue 1 Lake (Ci 42090).",/productimages/sku/s2780757-av-9-zoom.jpg,,,https://www.sephora.com/product/ami-cole-blush-desert-cream-blush-lip-multistick-P504779?skuId=2780757,,,$22.00,/productimages/sku/s2780757-av-2-zoom.jpg,/productimages/sku/s2780757-av-7-zoom.jpg,/productimages/sku/s2780757-av-4-zoom.jpg,,0.19 oz / 5.5 g,Desert Date Cream Blush & Lip Multistick,,/productimages/sku/s2780757-av-3-zoom.jpg,0
P202633,Brow Wiz Ultra-Slim Precision Brow Pencil,5746,Anastasia Beverly Hills,834189,4.4056,15885.0,0.003 oz/ 0.085 g,Color,Ash Brown,for grey hair with cool/ash undertones,,25.0,,,0,0,0,0,0,"['Vegan', 'Natural Finish', 'Community Favorite']",Makeup,Eye,Eyebrow,11,25.0,25.0,P202633,Anastasia Beverly Hills,,/productimages/sku/s2372530-av-14-zoom.jpg,,16200.0,4.3974,,/productimages/sku/s2372530-av-18-zoom.jpg,/productimages/sku/s2372530-av-13-zoom.jpg,/productimages/sku/s2372530-av-16-zoom.jpg,,,"Hydrogenated Soybean Oil, Hydrogenated Coco-Glycerides, Hydrogenated Vegetable Oil, Zinc Stearate, Copernicia Cerifera (Carnauba) Wax/Cera Carnauba/Cire De Carnauba, Stearic Acid, Polyglyceryl-2 Triisostearate, Tocopheryl Acetate, Caprylyl Glycol, Phenoxyethanol, Hexylene Glycol, May Contain/Peut Contenir (+/-): Mica, Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891)",/productimages/sku/s2372530-av-17-zoom.jpg,,,https://www.sephora.com/product/brow-wiz-P202633?skuId=2372530,,/productimages/sku/s2372530-av-19-zoom.jpg,$25.00,/productimages/sku/s2372530-av-10-zoom.jpg,/productimages/sku/s2372530-av-15-zoom.jpg,/productimages/sku/s2372530-av-12-zoom.jpg,,0.003 oz/ 0.085 g,Brow Wiz® Ultra-Slim Precision Eyebrow Pencil,,/productimages/sku/s2372530-av-11-zoom.jpg,0
P384060,"DIPBROW Waterproof, Smudge Proof Brow Pomade",5746,Anastasia Beverly Hills,617437,4.6701,11158.0,0.14 oz/ 4 g,Color,Dark Brown,,"['Cyclopentasiloxane, Isododecane, Cyclohexasiloxane, Silica, Polyethylene, Trimethylsiloxysilicate, Ozokerite/Synthetic Wax, Bis-Diglyceryl Polyacyladipate-2, Silica Dimethyl Silylate, Mica, Tocopheryl Acetate, Caprylyl Glycol, Ethylhexylglycerin, Propylparaben, May Contain: (+/-) Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891), Bismuth Oxychloride (Ci 77163).']",21.0,,,0,0,0,0,0,"['Vegan', 'Cream Formula', 'Community Favorite', 'Full Coverage', 'Waterproof']",Makeup,Eye,Eyebrow,10,21.0,21.0,P384060,Anastasia Beverly Hills,,/productimages/sku/s1578699-av-12-zoom.jpg,,11327.0,4.6655,,,/productimages/sku/s1578699-av-11-zoom.jpg,/productimages/sku/s1578699-av-14-zoom.jpg,,,"Cyclopentasiloxane, Isododecane, Cyclohexasiloxane, Silica, Polyethylene, Trimethylsiloxysilicate, Ozokerite/Synthetic Wax, Bis-Diglyceryl Polyacyladipate-2, Silica Dimethyl Silylate, Mica, Tocopheryl Acetate, Caprylyl Glycol, Ethylhexylglycerin, Propylparaben, May Contain: (+/-) Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891), Bismuth Oxychloride (Ci 77163).
",,,,https://www.sephora.com/product/dipbrow-pomade-P384060?skuId=1578699,,,$23.00,/productimages/product/p384060-av-01-zoom.jpg,/productimages/sku/s1578699-av-13-zoom.jpg,/productimages/sku/s1578699-av-10-zoom.jpg,,0.14 oz/ 4 g,"DIPBROW® Waterproof, Smudge Proof Brow Pomade",,/productimages/product/p384060-av-02-zoom.jpg,0
